Product Name,Product Code,Location,Quantity,Unit Cost,Expiry Date,Batch Number,Selling Price
Paracetamol 500mg,PRD001,A-01,150,15.50,2025-06-15,B001,18.00
Bandages,PRD002,B-03,200,8.00,2026-12-20,B002,12.00
Antibiotics,PRD003,A-05,75,45.00,2025-03-10,B003,55.00
Syringes,PRD004,C-02,300,12.00,2025-08-30,B004,15.00
Vitamin D,PRD005,A-02,100,22.50,2025-07-15,B005,28.00
Gauze Pads,PRD006,B-01,250,6.50,2025-05-20,B006,9.00
Aspirin,PRD007,A-03,120,18.00,2025-09-10,B007,22.00
MRI Contrast Agent,PRD008,D-01,50,85.00,2025-12-31,B008,100.00
Surgical Equipment Set,PRD009,D-02,30,450.00,2026-06-30,B009,550.00
Specialized Medication,PRD010,D-03,60,125.00,2025-09-15,B010,150.00
Paracetamol 500mg,PRD001,A-01,50,16.00,2025-08-15,B017,19.00
Antibiotics,PRD003,B-01,25,46.00,2025-04-10,B018,56.00
Vitamin D,PRD005,C-02,80,23.00,2025-08-20,B019,29.00
Syringes,PRD004,A-02,150,13.00,2025-09-30,B020,16.00
Bandages,PRD002,C-01,100,9.00,2026-11-15,B021,13.00
Aspirin,PRD007,B-02,60,19.00,2025-10-05,B022,23.00
MRI Contrast Agent,PRD008,D-01,30,87.00,2025-11-30,B023,105.00
Surgical Equipment Set,PRD009,E-01,15,455.00,2026-07-15,B024,560.00
Specialized Medication,PRD010,A-04,40,128.00,2025-10-20,B025,155.00
Gauze Pads,PRD006,B-03,80,7.00,2025-06-10,B026,10.00
