Product Name,Product Code,Location,Quantity,Unit Cost,Expiry Date,Batch Number,Selling Price
Paracetamol 500mg,PRD001,A-01,150,15.50,2025-06-15,B001,18.00
Bandages,PRD002,B-03,200,8.00,2026-12-20,B002,12.00
Antibiotics,PRD003,A-05,75,45.00,2025-03-10,B003,55.00
Syringes,PRD004,C-02,300,12.00,2025-08-30,B004,15.00
Vitamin D,PRD005,A-02,100,22.50,2025-07-15,B005,28.00
Gauze Pads,PRD006,B-01,250,6.50,2025-05-20,B006,9.00
Aspirin,PRD007,A-03,120,18.00,2025-09-10,B007,22.00
MRI Contrast Agent,PRD008,D-01,50,85.00,2025-12-31,B008,100.00
Surgical Equipment Set,PRD009,D-02,30,450.00,2026-06-30,B009,550.00
Specialized Medication,PRD010,D-03,60,125.00,2025-09-15,B010,150.00
